,word,kanji,reading,overall_rank,rank_english,rank_japanese
286,weight,目方,めかた,287,887,4082
287,heart,心臓,しんぞう,288,889,3124
288,knowledge,知識,ちしき,289,897,4966
289,camera,カメラ,カメラ,290,900,671
290,girl,少女,しょうじょ,291,902,2063
291,construction,工事,こうじ,292,904,617
292,construction,建設,けんせつ,293,904,1455
293,golf,ゴルフ,ゴルフ,294,908,711
294,receive,もらう,もらう,295,909,180
295,half,半分,はんぶん,296,928,559
296,engineering,工学,こうがく,297,931,2372
297,license,免許証,めんきょしょう,298,937,1727
298,lake,湖,みずうみ,299,940,5137
299,church,教会,きょうかい,300,950,848
300,purchase,購入,こうにゅう,301,952,3559
301,hardware,ハードウェア,ハードウェア,302,957,4138
302,fire,火,ひ,303,960,408
303,fire,火事,かじ,304,960,613
304,holiday,祝日,しゅくじつ,305,961,1628
305,death,死,し,306,967,2775
306,death,死亡,しぼう,307,967,2779
307,speed,速さ,はやさ,308,969,1024
308,speed,スピード,スピード,309,969,2091
309,face,顔,かお,310,973,329
310,face,面する,めんする,311,973,4701
311,discount,値引き,ねびき,312,975,4469
312,yellow,黄色い,きいろい,313,983,344
313,yellow,黄色,きいろ,314,983,1472
314,stay,滞在,たいざい,315,1001,5251
315,nature,自然,しぜん,316,1002,1150
316,nature,天然,てんねん,317,1002,4527
317,summary,まとめ,まとめ,318,1006,5813
318,turn,曲がる,まがる,319,1007,284
319,growth,成長,せいちょう,320,1009,2860
320,king,王,おう,321,1012,3179
321,king,王様,おうさま,322,1012,3180
322,activity,活動,かつどう,323,1015,1017
323,employment,採用,さいよう,324,1024,1345
324,employment,雇用,こよう,325,1024,2999
325,employment,勤め先,つとめさき,326,1024,5048
326,contents,内容,ないよう,327,1031,1693
327,engine,エンジン,エンジン,328,1034,2074
328,album,アルバム,アルバム,329,1036,1076
329,stop,ストップ,ストップ,330,1038,2174
330,administration,行政,ぎょうせい,331,1041,2939
331,double,倍,ばい,332,1046,5376
332,dog,犬,いぬ,333,1047,1738
333,screen,画面,がめん,334,1049,2629
334,soon,もうじき,もうじき,335,1052,5983
335,season,季節,きせつ,336,1060,1277
